name,category,price,image_url
Alf 3.0 Blanco Bagley X73.5 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-30-blanco-bagley-x735-gr.webp
Alf 3.0 Negro Bagley X73.5 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-30-negro-bagley-x735-gr.webp
Alf Triple. Choco/creamy X60 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-triple-chococreamy-x60-gr.webp
Alf. Aguila Minitorta Clasico X69 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-aguila-minitorta-clasico-x69-gr.webp
Alf. B-o-b Negro Triple X73 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-b-o-b-negro-triple-x73-gr.webp
Alf. Cofler Mousse X40gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-cofler-mousse-x40gr.webp
Alf. Minitorta Aguila Brownie X69 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-minitorta-aguila-brownie-x69-gr.webp
Alf. Minitorta Blanco X69 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-minitorta-blanco-x69-gr.webp
Alf. Minitorta Coco X70.5 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alf-minitorta-coco-x705-gr.webp
Bon O Bon Mini X6,alfajores,3500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/bon-o-bon-mini-x6.webp
Chocotorta X71.5 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/chocotorta-x715-gr.webp
Milka Mouse,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/milka-mouse.webp
Milka Oreo,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/milka-oreo.webp
Oreo Calsico,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/oreo-calsico.webp
Pepitos,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pepitos.webp
Shot,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/shot.webp
Tatin Blanco X33 Gr,alfajores,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tatin-blanco-x33-gr.webp
Tatin Simple Leche X33gr,alfajores,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tatin-simple-leche-x33gr.webp
Terrabusi Torta,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/terrabusi-torta.webp
Terrabusi Triple,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/terrabusi-triple.webp
Tofi Triple Blanco X73gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tofi-triple-blanco-x73gr.webp
Tofi Triple Negro X73 Gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tofi-triple-negro-x73-gr.webp
Triple Tatin Blanco X60gr,alfajores,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/triple-tatin-blanco-x60gr.webp
Triple Tatin Negro X60gr,alfajores,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/triple-tatin-negro-x60gr.webp
Alfjor Cofler Block X 60gr,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/alfjor-cofler-block-x-60gr.webp
Gulero,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/gulero.webp
Milka Dulde De Leche,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/milka-dulde-de-leche.webp
Rasta Blanco,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/rasta-blanco.webp
Rasta Negro,alfajores,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/rasta-negro.webp
Rasta Trico,alfajores,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/rasta-trico.webp
Azucar Arcor Tipo A 10 X 1kg,almacen,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/azucar-arcor-tipo-a-10-x-1kg.webp
Batata Estuche X 500gr,almacen,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/batata-estuche-x-500gr.webp
Bolsa De Leña/carbon,almacen,3500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/bolsa-de-lenacarbon.webp
Choclo Cremoso Arcor X 300gr,almacen,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choclo-cremoso-arcor-x-300gr.webp
Choclo Entero Arcor X300gr,almacen,2400,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choclo-entero-arcor-x300gr.webp
Empanada Arabe X6,almacen,9000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-arabe-x6.webp
Empanada De Acelga X6,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-de-acelga-x6.webp
Empanada De Carne X6,almacen,10000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-de-carne-x6.webp
Empanada De Cebolla X6,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-de-cebolla-x6.webp
Empanada De Choclo X6,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-de-choclo-x6.webp
Empanada De Pollo X6,almacen,11000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-de-pollo-x6.webp
Empanada Jamon Y Queso X6,almacen,10000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-jamon-y-queso-x6.webp
Ensalada De Frutas,almacen,3000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/ensalada-de-frutas.webp
