name,price,category,slug,image_url
3D Mega Tubito 85g,3100.00,Snacks,3d-mega-tubito-85g,
3D Mega Tubito X43g,2000.00,Snacks,3d-mega-tubito-x43g,
A Club Piña Colada,7600.00,Aperitivos,a-club-pina-colada,
Absolut Mandarina,28000.00,Vodka,absolut-mandarina,
Absolut Mango,28000.00,Vodka,absolut-mango,
Absolut Peach,28000.00,Vodka,absolut-peach,
Absolut Pears,28000.00,Vodka,absolut-pears,
Absolut Raspberry,28000.00,Vodka,absolut-raspberry,https://cdn.jsdelivr.net/gh/USER/toma-images/images/absolut-raspberry.jpg
Absolut Vainilla,28000.00,Vodka,absolut-vainilla,
Absolut Watermelon,28000.00,Vodka,absolut-watermelon,
Absolut Wildberri,28000.00,Vodka,absolut-wildberri,
Aconcagua Blanco,23700.00,Vinos Blancos,aconcagua-blanco,
Aconcagua Pink,23700.00,Aguas,aconcagua-pink,
Agua Rumipal 2l,1500.00,Aguas,agua-rumipal-2l,
Agua Rumipal 500ml,800.00,Aguas,agua-rumipal-500ml,
Aguila Taza X100g,3900.00,Golosinas,aguila-taza-x100g,
Alambrado Cabernet Franc,6900.00,Vinos Tintos,alambrado-cabernet-franc,
Alambrado Malbec,6900.00,Vinos Tintos,alambrado-malbec,https://cdn.jsdelivr.net/gh/USER/toma-images/images/alambrado-malbec.jpg
Alamos Malbec X750ml,7499.94,Vinos Tintos,alamos-malbec-x750ml,
Alf 3.0 Blanco Bagley X73.5g,2000.00,Vinos Blancos,alf-30-blanco-bagley-x735g,
Alf 3.0 Negro Bagley X73.5g,2000.00,Golosinas,alf-30-negro-bagley-x735g,
Alf Triple. Choco/Creamy X60g,2000.00,Golosinas,alf-triple-chococreamy-x60g,
Alf. Aguila Minitorta Clasico X69g,2000.00,Golosinas,alf-aguila-minitorta-clasico-x69g,
Alf. B-O-B Negro Triple X73g,2000.00,Golosinas,alf-b-o-b-negro-triple-x73g,
Alf. Cofler Mousse X40g,2000.00,Golosinas,alf-cofler-mousse-x40g,
Alf. Minitorta Aguila Brownie X69g,2000.00,Golosinas,alf-minitorta-aguila-brownie-x69g,
Alf. Minitorta Blanco X69g,2000.00,Vinos Blancos,alf-minitorta-blanco-x69g,
Alf. Minitorta Coco X70.5g,2000.00,Golosinas,alf-minitorta-coco-x705g,
Alfajor Bon O Bon Mini X6,3500.00,Golosinas,alfajor-bon-o-bon-mini-x6,
Alfajor Chocotorta X71.5g,2000.00,Golosinas,alfajor-chocotorta-x715g,
Alfajor Milka Mouse,2000.00,Golosinas,alfajor-milka-mouse,
Alfajor Milka Oreo,2000.00,Golosinas,alfajor-milka-oreo,
Alfajor Oreo Calsico,2000.00,Golosinas,alfajor-oreo-calsico,
Alfajor Pepitos,2000.00,Golosinas,alfajor-pepitos,
Alfajor Shot,2000.00,Golosinas,alfajor-shot,
Alfajor Tatin Blanco X33g,500.00,Vinos Blancos,alfajor-tatin-blanco-x33g,
Alfajor Tatin Simple Leche X33g,500.00,Golosinas,alfajor-tatin-simple-leche-x33g,
Alfajor Terrabusi Torta,2000.00,Golosinas,alfajor-terrabusi-torta,
Alfajor Terrabusi Triple,2000.00,Golosinas,alfajor-terrabusi-triple,
Alfajor Tofi Triple Blanco X73g,2000.00,Vinos Blancos,alfajor-tofi-triple-blanco-x73g,
Alfajor Tofi Triple Negro X73g,2000.00,Golosinas,alfajor-tofi-triple-negro-x73g,
Alfajor Triple Tatin Blanco X60g,1000.00,Vinos Blancos,alfajor-triple-tatin-blanco-x60g,
Alfajor Triple Tatin Negro X60g,1000.00,Golosinas,alfajor-triple-tatin-negro-x60g,
Alfjor Cofler Block X 60g,2000.00,Golosinas,alfjor-cofler-block-x-60g,
Alma Mora Malbec,6000.00,Vinos Tintos,alma-mora-malbec,
Amargo Obrero,6200.00,Aperitivos,amargo-obrero,https://cdn.jsdelivr.net/gh/USER/toma-images/images/amargo-obrero.jpg
Amarula Coffe Cream 750ml,45000.00,Aperitivos,amarula-coffe-cream-750ml,
Amarula Cream 750ml,45000.00,Aperitivos,amarula-cream-750ml,
Amarula Raspberry Chocolate 750ml,45000.00,Golosinas,amarula-raspberry-chocolate-750ml,
Amarula Vainilla Spice Cream 750ml,45000.00,Aperitivos,amarula-vainilla-spice-cream-750ml,
Amarula Vegan Coconut Based 750ml,45000.00,Aperitivos,amarula-vegan-coconut-based-750ml,
Amor X110g,1500.00,Sin identificar,amor-x110g,
Amstel,2000.00,Cervezas,amstel,https://cdn.jsdelivr.net/gh/USER/toma-images/images/amstel.jpg
Andes Origen Ipa,2600.00,Cervezas,andes-origen-ipa,
Andes Origen Negra 473ml,2200.00,Cervezas,andes-origen-negra-473ml,
Andes Roja 473ml,2600.00,Sin identificar,andes-roja-473ml,
Andes Rubia 473ml,2600.00,Cervezas,andes-rubia-473ml,
Antuan Malbec,6899.85,Vinos Tintos,antuan-malbec,https://cdn.jsdelivr.net/gh/USER/toma-images/images/antuan-malbec.jpg
Aperol 750ml,10700.00,Aperitivos,aperol-750ml,
Aquarius Limonada 1l,3200.00,Jugos,aquarius-limonada-1l,
Aquarius Limonada 500ml,1500.00,Jugos,aquarius-limonada-500ml,
Aquarius Manzana 1l,3000.00,Jugos,aquarius-manzana-1l,
Aquarius Manzana 500ml,1500.00,Jugos,aquarius-manzana-500ml,
Aquarius Naranja 1l,3000.00,Jugos,aquarius-naranja-1l,
Aquarius Naranja 500ml,1500.00,Jugos,aquarius-naranja-500ml,
Aquarius Pera 1l,3200.00,Jugos,aquarius-pera-1l,
Aquarius Pera 500ml,1500.00,Jugos,aquarius-pera-500ml,
Aquarius Pomelo 1l,3200.00,Gaseosas,aquarius-pomelo-1l,
Aquarius Pomelo 500ml,1500.00,Gaseosas,aquarius-pomelo-500ml,
Aquarius Uva 1l,3200.00,Jugos,aquarius-uva-1l,
Aquarius Uva 500ml,1500.00,Jugos,aquarius-uva-500ml,
Azucar Arcor Tipo A 10 X 1kg,1000.00,Snacks,azucar-arcor-tipo-a-10-x-1kg,
Azul Cabernet Sauvignon X750ml,9800.00,Vinos Tintos,azul-cabernet-sauvignon-x750ml,
Azul Chardonnay X750ml,10500.00,Vinos Blancos,azul-chardonnay-x750ml,
Azul El Buscapleitos Ed Limitada Bonarda,16800.00,Vinos Tintos,azul-el-buscapleitos-ed-limitada-bonarda,
Azul Malbec,9100.00,Vinos Tintos,azul-malbec,
Azul Matilda Rose X750ml,14200.18,Vinos Tintos,azul-matilda-rose-x750ml,
Azul Reserva Blend 60% Malbec 40% Cabernet,16800.00,Vinos Tintos,azul-reserva-blend-60-malbec-40-cabernet,
Azul Sauvignon Blanc,10500.00,Vinos Blancos,azul-sauvignon-blanc,
B.J Xeneizes X 750ml,8800.00,Vinos Tintos,bj-xeneizes-x-750ml,
Bag In Box Malbec X3L,26800.00,Vinos Tintos,bag-in-box-malbec-x3l,
Baggio Durazno L,2200.00,Gaseosas,baggio-durazno-l,
Baggio Muliruta 1l,2200.00,Gaseosas,baggio-muliruta-1l,
Baggio Naranja 1l,2200.00,Gaseosas,baggio-naranja-1l,
Barra Cereal Mix Frut/Choc X26g,1500.00,Golosinas,barra-cereal-mix-frutchoc-x26g,
Barra Cereal Mix Pasion Choc X 26g,1500.00,Golosinas,barra-cereal-mix-pasion-choc-x-26g,
Barra Cofler Block 45g,1500.00,Golosinas,barra-cofler-block-45g,
Barra Rockels Chocolate X44g,1500.00,Golosinas,barra-rockels-chocolate-x44g,
Barril Heineken 5l,85000.00,Cervezas,barril-heineken-5l,
Batata Estuche X 500g,2200.00,Snacks,batata-estuche-x-500g,
Beefeater 700ml,28000.00,Gin,beefeater-700ml,
Beefeater Naranja,39000.00,Aperitivos,beefeater-naranja,
Beldent Azul,1000.00,Sin identificar,beldent-azul,
Beldent Negro,1000.00,Sin identificar,beldent-negro,
Beldent Verde,1000.00,Sin identificar,beldent-verde,
Block X 38g,2200.00,Golosinas,block-x-38g,
Blockazo X 1kg,23999.86,Golosinas,blockazo-x-1kg,
Bodega Azul Buscapleito Cabernet Franc,16800.00,Vinos Tintos,bodega-azul-buscapleito-cabernet-franc,
Bolsa De Gomitas,2000.00,Golosinas,bolsa-de-gomitas,
Bolsa De Leña/Carbon,3500.00,Snacks,bolsa-de-lenacarbon,
Bolsa De Masticables,1000.00,Golosinas,bolsa-de-masticables,
Bolsita Butter Toffees Surtidos,1200.00,Golosinas,bolsita-butter-toffees-surtidos,
Bolsita Rellenos Miel,1000.00,Golosinas,bolsita-rellenos-miel,
Bombay 700ml,41000.00,Gin,bombay-700ml,
Bon O Bon Blanco X30 U,500.00,Vinos Blancos,bon-o-bon-blanco-x30-u,
Bon O Bon Leche X 30U,413.22,Golosinas,bon-o-bon-leche-x-30u,
Bonaqua 1.5l,1800.00,Aguas,bonaqua-15l,
Bonaqua 2.5l,2500.00,Aguas,bonaqua-25l,
Bonaqua 500ml,1400.00,Aguas,bonaqua-500ml,
Brahma 473ml,2500.00,Cervezas,brahma-473ml,
Brahma 710ml,3500.00,Cervezas,brahma-710ml,
